uid,consentDate,cloudSyncEnabled,notifReminders,notifFrequency,notifTime,fcmTokenPresent,lastNotifiedAt,status
aBLX2CDWaxfL3Ewh0i5nNLUxMx13,2026-05-30,true,,,,false,,no_reminders
aiKDBViCNlOlr1t3Wd31pGzSG962,2026-05-31,true,true,weekly,morning,true,2026-06-01,working
aug6AT7TPkOGV8xjZNVofkxYFp43,2026-05-30,true,,,,false,,no_reminders
azHJzF2L7RbLTrmZ2FNDzlX52GU2,2026-06-01,true,,,,false,,no_reminders
bAVAnkVH9xfUMVyd9BbeDMVgkrl1,2026-06-01,true,,,,false,,no_reminders
bDX1V8uONjSXkJmDn5Pg8ppeER82,2026-06-03,true,true,weekly,morning,true,2026-06-04,working
bGov7T8FK0Smztk1nwP9LBD1v753,2026-05-30,true,true,monthly,morning,true,2026-05-31,working
bPL97W03i0VK8pN7ct10QHY7ucl2,2026-05-31,true,,,,false,,no_reminders
bnmfO1HITVU9hjK8YX5nfDvoTp72,2026-05-30,true,true,weekly,morning,true,2026-05-31,working
c9AVPxhpujeDCElxrLB1swxObZt2,2026-05-30,true,,,,false,,no_reminders
cnAxvR2AJ1MVcJWcywh5KaHLzAm1,2026-05-30,true,,,,false,,no_reminders
e3JZcpWRJ5hcPjR8CM1rqlykGTA2,2026-05-30,true,,,,false,,no_reminders
eHDtn2m6cARkNlKFjJmWNPfSyv93,2026-05-30,true,true,weekly,night,true,2026-05-31,working
eoZDR6S5ByMZ4YouV86FHfdvH6u2,2026-05-31,true,,,,false,,no_reminders
euIYJtHOvMTNVcAESTRxEYDu0jf2,2026-05-30,true,,,,false,,no_reminders
fRAjOBPL1XUuxajZxBGwdBOqcXj1,2026-05-30,true,,,,false,,no_reminders
gmjCrARmnGexirHCekp9BZIcEtU2,2026-05-30,true,true,weekly,night,true,2026-05-30,working
h8eJ1nVG77go4XyRkbX6q0Dny6E2,2026-05-30,true,true,twice-weekly,night,true,2026-06-03,working
hGsaZAXRtYeWce7m9Tu0pGe9Ck92,2026-05-30,true,true,twice-weekly,night,true,2026-06-03,working
hHDA9gXSCJMtlx3bF664IikjU2D2,2026-05-31,true,,,,false,,no_reminders
hiFPrH7gQtPrXs3MXafwuKSAVPa2,2026-05-30,true,true,twice-weekly,morning,true,2026-06-04,working
hlYCeHk9EMbZki7uMzV9c8fdkW12,2026-05-30,true,,,,false,,no_reminders
huKeLQWRGjbE5VIlRIkvqZpJ8GJ2,2026-05-30,true,true,weekly,morning,true,,pending
iBHeyt1qmGfJzVmoYUmXZBEGUMJ2,2026-05-30,true,true,weekly,afternoon,true,2026-05-31,working
jIDhXyLnYdOQ0fwxwxjdZ0KhYJw1,2026-05-30,false,,,,false,,no_consent
lWLD2TtYKGPbXWDDcHGQUrD0F7M2,2026-06-01,true,true,weekly,morning,true,2026-06-02,working
ltiFK8wA3AVNFARey78SjQiwwGD3,2026-05-30,true,true,weekly,night,true,2026-05-31,working
mb1mcWqzm0fLiGKNgWoW0QQ7kN83,2026-05-30,true,true,twice-weekly,morning,true,2026-06-04,working
mkImOx88wqShFcS1SHJaTE9gIjo2,2026-06-04,true,true,weekly,afternoon,true,2026-06-04,working
nMVgqdaWnzaI4BgDfaXMkFdxIbN2,2026-05-31,true,true,weekly,morning,true,2026-06-01,working
oAeCFb3wkaNbZBEVcM0PUhKTtFh2,2026-06-01,true,true,weekly,morning,true,2026-06-02,working
pNvhQoxqgHhI4QMepu3M7PSSf0x1,2026-06-04,true,true,weekly,morning,false,,broken
pSSg9mrXpWOaitXXXiL6oPXXSpr1,2026-05-30,true,true,twice-weekly,night,true,2026-06-03,working
rvfnOMTWODQ9ILRcZepk2aRUuMl2,2026-05-30,true,true,weekly,morning,true,2026-05-31,working
seMn2GFisMRt13TabGZWRy0ui6x1,2026-05-31,true,,,,false,,no_reminders
ssHySdiTSwbovGKYYR8IocBSB6v1,2026-06-01,true,,,,false,,no_reminders
tqyAphPC6gO32uDUNVETifz54Q63,2026-05-30,true,,,,false,,no_reminders
u2Px777XwqMkwUN4YFqE8yqbT4r2,2026-05-30,true,,,,false,,no_reminders
uSgsZ4u96MdlKwuBkaxPHThKxfn2,2026-05-30,true,,,,false,,no_reminders
vS1UxJITSIM8quefCDncAVAQsQa2,2026-05-30,true,,,,false,,no_reminders
vvLHvoMPpZUwzRASlN28iBAxkTT2,2026-05-30,true,true,twice-weekly,morning,true,2026-05-31,working
wR5iGy9tafeyP3aaEgItQp3FqYC3,2026-05-30,true,,,,false,,no_reminders
yAKttCOWlMM0x9mlhHTquI9p2sS2,2026-05-30,true,,,,false,,no_reminders
yGBo4RZJCwhqJbuWS5SIsMbIOhJ3,2026-05-31,true,true,twice-weekly,night,true,2026-06-03,working
